recorded_at,value_usd,twenty_four_hour_trading_volume_usd,SMA_100,SMA_200,EMA_50,EMA_100,VWAP,OBV,RSI,EMA_12,EMA_26,MACD,MACD_Signal,Bollinger_Mid,Bollinger_Std,Bollinger_Upper,Bollinger_Lower,High_Low,High_Close,Low_Close,True_Range,ATR,Money_Flow_Multiplier,Money_Flow_Volume,CMF,Lowest_Low,Highest_High,%K,%D
2024-06-05 00:00:00+00:00,70197.63476108613,31561053725.144592,,,65878.13926451345,64636.89992605115,66234.99325267307,177834716059.9252,49.446949959734006,68412.04780821638,67250.26203815051,1161.7857700658642,1229.216315553129,68349.01524012127,1081.0510130907276,70511.11726630272,66186.91321393981,0.0,1148.1941761224152,1148.1941761224152,1148.1941761224152,448.65782865517394,,,,67639.76605244137,70197.63476108613,100.0,56.85670887452355
2024-06-06 00:00:00+00:00,70848.06626345572,32560403314.989147,,,66073.03836251119,64759.893318871036,66413.65208005418,210395119374.91434,65.24714499662633,68786.8198782532,67516.76605483978,1270.0538234134146,1237.3838171251862,68582.50986358123,1091.7649451964608,70766.03975397415,66398.97997318831,0.0,650.4315023695963,650.4315023695963,650.4315023695963,411.2164678865655,,,,67639.76605244137,70848.06626345572,100.0,84.55131751694118
2024-06-07 00:00:00+00:00,70423.18333735951,23612879689.560955,,,66243.63228309347,64872.037675672786,66523.18821033183,186782239685.3534,66.69633964866026,69038.5681027311,67732.05622391532,1306.5118788157706,1251.209429463303,68783.22533574123,1038.8433525055946,70860.91204075242,66705.53863073004,0.0,424.8829260962084,424.8829260962084,424.8829260962084,402.2814542227165,,,,67639.76605244137,70848.06626345572,86.75675908889228,95.5855863629641
2024-06-08 00:00:00+00:00,69800.01823496104,18597495569.911568,,,66383.09839885298,64969.62144912404,66592.20867479297,168184744115.44183,59.865117169471944,69155.71427692032,67885.23859510389,1270.4756818164315,1255.0626799339288,68936.25200623847,942.9339430151628,70822.11989226879,67050.38412020815,0.0,623.1651023984741,623.1651023984741,623.1651023984741,444.7159917045106,,,,67639.76605244137,70848.06626345572,67.3332306965337,84.69666326180867
2024-06-09 00:00:00+00:00,69431.5424164908,10688301508.476225,,,66502.64522307407,65057.976319764966,66626.16877073258,157496442606.9656,55.15463307170847,69198.14937531578,67999.77961891032,1198.36975640546,1243.7240952282352,68997.9019901946,932.4119038840068,70862.72579796262,67133.07818242659,0.0,368.47581847023685,368.47581847023685,368.47581847023685,456.69365097629117,,,,67639.76605244137,70848.06626345572,55.848151550722186,69.97938044538272
2024-06-10 00:00:00+00:00,69487.48082338585,10461044041.080194,,,66619.69759955688,65145.689280232706,66659.27651399528,167957486648.0458,53.55780597251898,69242.6619057881,68109.97970813073,1132.6821976573701,1221.5157157140623,69007.72860776776,936.6886568282791,70881.10592142431,67134.3512941112,0.0,55.93840689504577,55.93840689504577,55.93840689504577,440.9911026110006,,,,67639.76605244137,70848.06626345572,57.59170431124642,60.25769551950077
2024-06-11 00:00:00+00:00,68825.49689133473,19335866773.67523,,,66706.19953256777,65218.55675768027,66704.63569611743,148621619874.37057,50.725578666710405,69178.48267279527,68162.98098096067,1015.5016918346082,1180.3129109381716,68935.64789105734,888.9253826619818,70713.4986563813,67157.79712573337,0.0,661.9839320511237,661.9839320511237,661.9839320511237,465.6135332517609,,,,67639.76605244137,70848.06626345572,36.95822587994255,50.13269391397038
2024-06-12 00:00:00+00:00,68348.94987047349,38513044382.60802,,,66770.62111444643,65280.54474011182,66770.46906627312,110108575491.76256,49.46571196716686,69050.86224166884,68176.7564542579,874.1057874109392,1119.0714862327252,68898.47035096037,897.5272101273002,70693.52477121497,67103.41593070577,0.0,476.5470208612387,476.5470208612387,476.5470208612387,477.47247477048535,,,,67639.76605244137,70848.06626345572,22.10465889686492,38.8848630293513
2024-06-13 00:00:00+00:00,67417.99632263563,36027809551.45211,,,66796.00837751268,65322.87051402318,66793.84563419642,74080765940.31046,45.39536613204204,68799.65210027911,68120.55200006366,679.1001002154517,1031.0772090292705,68842.24378934101,954.4198104054323,70751.08341015187,66933.40416853015,0.0,930.953547837853,930.953547837853,930.953547837853,520.2847321585141,,,,67417.99632263563,70848.06626345572,0.0,19.687628258935824
2024-06-14 00:00:00+00:00,66978.63845926701,29654777884.381138,,,66803.17034150305,65355.657998087416,66799.17833809176,44425988055.92932,44.42682108421047,68519.49615550802,68035.9658118565,483.53034365152416,921.5678359537213,68762.59525567055,1040.7570687261991,70844.10939312294,66681.08111821815,0.0,439.35786336862657,439.35786336862657,439.35786336862657,531.6274118393163,,,,66978.63845926701,70848.06626345572,0.0,7.368219632288306
